Thread,Index,Word,Label
1,99,ทับสะแก จังหวัดประจวบคีรีขันธ์,LOCATION
1,129,ฟิวเจอร์พาร์ครังสิต,LOCATION
1,138,ชะอำ,LOCATION
1,142,อ่าวมะนาว,LOCATION
1,993,เมืองไทย,LOCATION
2,15,หมู่บ้านท่าระแนะ ตำบลหนองคันทรง อ.เมือง จ.ตราด,LOCATION
2,71,ตราด,LOCATION
2,123,ตราด,LOCATION
2,128,เกาะช้าง,LOCATION
2,156,เมืองตราด,LOCATION
2,207,เมืองตราด,LOCATION
2,267,หมู่บ้านท่าระแนะ,LOCATION
2,489,ตราด,LOCATION
2,574,ชุมชนบ้านท่าระแนะ,LOCATION
2,600,จังหวัดตราด,LOCATION
2,727,ลานตะบูน,LOCATION
2,755,ลานตะบูน,LOCATION
2,809,ลานตะบูน,LOCATION
2,938,บ้านท่าระแนะ,LOCATION
2,1365,ลานตะบูน,LOCATION
2,1503,เมืองตราด,LOCATION
2,1512,ตำบลท่าระแนะ,LOCATION
2,1713,ลานตะบูน ที่บ้านท่าระแนะ,LOCATION
2,1816,ลานตะบูนนนนนน,LOCATION
2,1883,ลานตะบูน,LOCATION
2,1950,ลานตะบูน,LOCATION
2,2060,ลานตะบูน,LOCATION
2,2154,ตราด,LOCATION
2,2219,จังหวัดตราด,LOCATION
2,2223,ท่าระแนะ,LOCATION
2,2347,ตำบลหนองคันทรง,LOCATION
2,2423,วัดหนองคันทรง,LOCATION
2,2511,วัดหนองคันทรง,LOCATION
2,2648,ตำบลหนองคันทรง,LOCATION
2,3171,เมืองตราด,LOCATION
2,3223,เมืองตราด,LOCATION
2,3281,เมืองตราด,LOCATION
2,3304,ตราด,LOCATION
2,3314,เมืองตราดมัน,LOCATION
2,3333,ชลบุรี,LOCATION
2,3335,ระยอง,LOCATION
2,3337,จันทบุรี,LOCATION
2,3347,เมืองตราด,LOCATION
2,3383,ตราด,LOCATION
3,51,จังหวัดเชียงราย,LOCATION
3,97,เชียงราย,LOCATION
3,120,สนามบินสุวรรณภูมิ,LOCATION
3,124,สนามบินแม่ฟ้าหลวง เชียงราย,LOCATION
3,222,สนามบินแม่ฟ้าหลวง เชียงราย,LOCATION
3,347,เมืองเชียงราย,LOCATION
3,351,หอนาฬิกา,LOCATION
3,362,เชียงราย,LOCATION
3,787,สวนตุงและโคมนครเชียงราย เทศบาลนครเชียงราย,LOCATION
3,1071,อ.แม่ลาว,LOCATION
3,1323,วัดร่องขุ่น,LOCATION
3,1605,วัดร่องเสือเต้น,LOCATION
3,1640,วัดร่องขุ่น,LOCATION
3,1756,วัดห้วยปลากั้ง,LOCATION
3,1761,เจ้าแม่กวนอิม วัดห้วยปลากั้ง,LOCATION
3,1773,สวัสดีเชียงราย Cat Cafe,LOCATION
3,2009,ดอยตุง,LOCATION
3,2019,วัดพระธาตุดอยตุง,LOCATION
3,2045,แม่สาย,LOCATION
3,2119,วัดพระธาตุดอยตุง,LOCATION
3,2170,หอนาฬิกา,LOCATION
3,2370,สนามบินเชียงใหม่,LOCATION
3,2453,กรุงเทพฯ,LOCATION
3,2508,สนามบินสุวรรณภูมิ,LOCATION
4,4,กระบี่,LOCATION
5,61,เมกาบางนา,LOCATION
11,35,Safari World,LOCATION
11,149,Safari World,LOCATION
11,184,Safari World,LOCATION
11,192,99 99 ถนนปัญญาอินทรา แขวงคลองสามวา เขตสามวานอก กรุงเทพฯ,LOCATION
11,222,Safari World,LOCATION
11,1081,พัทยา,LOCATION
11,1434,จุตจักร,LOCATION
11,1590,Safari World,LOCATION
11,1786,รัชดา,LOCATION
11,2212,Safari World,LOCATION
11,2251,Safari World,LOCATION
13,2191,ลพบุรี,LOCATION
13,2193,อยุธยา,LOCATION
13,2195,สุโขทัย,LOCATION
13,2197,เชียงใหม่,LOCATION
13,2199,เชียงราย,LOCATION
14,11,บ้านรักไทย,LOCATION
14,58,แม่ฮ่องสอน,LOCATION
14,63,ปางอุ๋ง,LOCATION
14,65,บ้านรักไทย,LOCATION
14,72,ปาย,LOCATION
14,76,เชียงใหม่,LOCATION
14,80,เชียงดาว,LOCATION
14,84,แม่แตง,LOCATION
14,89,แม่ริม,LOCATION
14,101,บ้านรักไทย,LOCATION
14,165,ประเทศพม่า,LOCATION
14,694,แม่ฮ่องสอน,LOCATION
14,718,ปางอุ๋ง,LOCATION
16,57,อิมแพ็ค เมืองทองธานี,LOCATION
17,22,เมลเบิร์น ออสเตรเลีย,LOCATION
17,31,ประเทศไทย,LOCATION
17,42,เชียงราย,LOCATION
17,55,กรุงเทพ,LOCATION
17,62,เชียงราย,LOCATION
17,91,ศูนย์การประชุมแห่งชาติสิริกิติ์,LOCATION
17,96,เชียงราย,LOCATION
17,109,เชียงราย,LOCATION
17,178,ออสเตรเลีย,LOCATION
17,234,สวนสัตว์เขาดิน,LOCATION
17,247,กรุงเทพ,LOCATION
17,269,เมลเบิร์น,LOCATION
17,294,เชียงราย,LOCATION
17,303,เชียงราย,LOCATION
17,343,อนุสาวรีย์พ่อขุนเม็งราย,LOCATION
17,396,เชียงราย,LOCATION
17,425,วัดร่องขุ่น,LOCATION
17,434,วัดร่อง,LOCATION
17,625,สิงห์ปาร์ค,LOCATION
17,652,สิงห์ปาร์ค,LOCATION
17,787,สิงค์ปาร์ค,LOCATION
17,794,บ้านดำ,LOCATION
17,987,เชียงราย,LOCATION
17,1000,ไร่ชาฉุยฟง,LOCATION
17,1023,ออสเตรเลีย,LOCATION
17,1079,สามเหลี่ยมทองคำ,LOCATION
17,1100,เชียงราย,LOCATION
17,1176,วัดพระแก้ว,LOCATION
17,1230,วัดห้วยปลากั้ง,LOCATION
17,1322,วัดห้วยปลากั้ง,LOCATION
17,1416,วัดร่องเสือเต้น,LOCATION
17,1478,วัดร่องขุ่น,LOCATION
17,1586,เชียงราย,LOCATION
17,1640,เชียงราย,LOCATION
17,1645,พระตำหนักดอยตุง,LOCATION
17,1668,ดอยตุง,LOCATION
17,1690,พระตำหนักดอยตุง,LOCATION
17,1994,เชียงราย,LOCATION
17,2032,เชียงราย,LOCATION
18,7,ปางอุ๋ง,LOCATION
18,28,ปางอุ๋ง,LOCATION
18,53,ปางอุ๋ง,LOCATION
19,165,นาเฮียใช้ ต.บ้านโพธิ์ อ.เมือง จ.สุพรรณบุรี,LOCATION
20,0,จังหวัดพระนครศรีอยุธยา,LOCATION
20,28,อุทยานประวัติศาสตร์พระนครศรีอยุธยา,LOCATION
20,37,เกาะเมือง,LOCATION
20,42,เกาะเมือง,LOCATION
20,46,สะพานปรีดี,LOCATION
20,50,ศาลากลางจังหวัดหลังเก่า,LOCATION
20,56,ศาลหลักเมือง,LOCATION
20,59,คุ้มขุนแผน,LOCATION
20,62,วิหารพระมงคลบพิตร,LOCATION
20,67,วัดพระศรีสรรเพ็ชญ์,LOCATION
20,78,วัดพระราม,LOCATION
20,115,ตลาดย้อนยุค,LOCATION
20,118,ถนนคนเดิน,LOCATION
20,122,ถนนกินเส้น,LOCATION
21,19,เมืองไทย,LOCATION
21,51,ไทย,LOCATION
21,64,เกาหลี,LOCATION
21,72,อเมริกา,LOCATION
21,74,ญี่ปุ่น,LOCATION
21,93,เกาหลี,LOCATION
21,241,ประเทศไทย,LOCATION
22,48,เดอะไนท์ พระราม9 ,LOCATION
23,39,เกาะช้าง,LOCATION
24,52,วังน้ำเขียว,LOCATION
24,91,ม่อนแจ่ม,LOCATION
25,0,มหาสารคาม,LOCATION
25,52,กันทรวิชัย,LOCATION
25,55,เชียงยืน,LOCATION
25,61,บ้านหนองซอน,LOCATION
25,148,มหาสารคาม,LOCATION
25,164,ลาว,LOCATION
25,217,วัดป่าบ้านหนองซอน,LOCATION
25,327,พิษณุโลก,LOCATION
25,404,จ.มหาสารคาม,LOCATION
25,446,มหาสารคาม,LOCATION
26,9,จังหวัดอุบลราชธานี,LOCATION
26,44,ประเทศไทย,LOCATION
26,187,Palio เขาใหญ่,LOCATION
27,6,พัทยา,LOCATION
27,12,เชียงคาน,LOCATION
27,14,เวียงจันทร์,LOCATION
27,17,คำชะโนด,LOCATION
27,64,เชียงคาน,LOCATION
27,67,เชียงคาน,LOCATION
27,76,ริมโขง,LOCATION
27,80,วัดผาตากเสื้อ,LOCATION
27,86,หนองคาย,LOCATION
27,89,เวียงจันทร์,LOCATION
27,101,คำชะโนด,LOCATION
27,141,เชียงคาน,LOCATION
27,143,วัดผาตากเสื้อ,LOCATION
27,148,หนองคาย,LOCATION
27,151,เวียงจันทร์,LOCATION
28,158,พระราม 9,LOCATION
28,184,เจริญกรุง,LOCATION
29,19,แพกาญ,LOCATION
29,25,กาญ,LOCATION
29,38,เมืองกาญนะจ๊ะบุรี,LOCATION
29,728,ร้านดาดาโรตีโอ่ง,LOCATION
29,810,เมืองไทย,LOCATION
30,184,ไทย,LOCATION
30,200,ญี่ปุ่น,LOCATION
30,262,จีน,LOCATION
30,264,ญี่ปุ่น,LOCATION
30,292,ไทย,LOCATION
31,29,กรุงเทพ,LOCATION
31,34,จังหวัดอุบลราชธานี,LOCATION
31,64,อุบล,LOCATION
31,226,กทม.,LOCATION
31,240,ร้าน Ribmann,LOCATION
31,285,Palio,LOCATION
31,313,Palio,LOCATION
31,563,พระราม 9,LOCATION
33,160,หลีเป๊ะ,LOCATION
33,175,ศูยน์ศิริกิตต์,LOCATION
33,515,ดอนเมือง,LOCATION
33,517,หาดใหญ่,LOCATION
33,552,สนามบินหาดใหญ่,LOCATION
33,571,ท่าเรือปากบารา จังหวัดสตูล,LOCATION
33,672,เกาะหลีเป๊ะ,LOCATION
33,706,อุทยานแห่งชาติตะรุเตา,LOCATION
33,718,ศาลเจ่าพ่อตะรุเตา,LOCATION
33,725,เกาะตะรุเตา จังหวัดสตูล,LOCATION
33,788,เกาะไข่,LOCATION
33,792,หาดหินบน,LOCATION
33,796,เกาะหินงาม,LOCATION
33,802,เกาะอาดัง,LOCATION
33,806,เกาะราวี,LOCATION
33,883,อุทยานแห่งชาติหมู่เกาะตะรุเตา,LOCATION
33,958,เกาะตะรุเตา,LOCATION
33,995,เกาะตะรุเตา,LOCATION
33,1045,อ่าวตะโละวาว,LOCATION
33,1051,อ่าวตะโละอุดัง,LOCATION
33,1074,ตะรุเตา,LOCATION
33,1130,อ่าวตะโละอุดัง,LOCATION
33,1196,ช่องแคบมะละกา,LOCATION
33,1259,เกาะตะรุเตา,LOCATION
33,1277,อุทยานแห่งชาติตะรุเตา,LOCATION
33,1310,ศาลเจ่าพ่อตะรุเตา,LOCATION
33,1341,เกาะไข่ อ.เมือง จ.สตูล,LOCATION
33,1354,เกาะไข่,LOCATION
33,1378,จ.สตูล,LOCATION
33,1396,ซุ้มรักนิรันดร (Lovers Gate),LOCATION
33,1411,เกาะไข่,LOCATION
33,1443,จ.สตูล,LOCATION
33,1450,เกาะไข่ จ.สตูล,LOCATION
33,1464,เกาะตะรุเตา,LOCATION
33,1471,เกาะหลีเป๊ะ,LOCATION
33,1479,เกาะไข่ จ.สตูล,LOCATION
33,1494,หมู่เกาะไข่ จ.พังงา,LOCATION
33,1527,หมู่เกาะไข่ จ.พังงา,LOCATION
33,1546,เกาะไข่ใน,LOCATION
33,1550,เกาะไข่นอก,LOCATION
33,1555,เกาะไข่นุ้ย,LOCATION
33,1561,เกาะไข่ จ.สตูล,LOCATION
33,1584,เกาะไข่,LOCATION
33,1634,เกาะไข่ จ.สตูล,LOCATION
33,1641,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,1654,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,1667,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,1680,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,1697,ซุ้มรักนิรันดร,LOCATION
33,1708,จ.สตูล,LOCATION
33,1718,เกาะไข่ จ.สตูล,LOCATION
33,1745,ซุ้มรักนิรันดร,LOCATION
33,1749,ซุ้มประตูแห่งรัก,LOCATION
33,1755,ซุ้มประตูแห่งคู่รัก,LOCATION
33,1774,เกาะไข่ จ.สตูล,LOCATION
33,1798,ซุ้มรักนิรันดร,LOCATION
33,1863,ซุ้มรักนิรันดร เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,1879,ซุ้มรักนิรันดร เกาะไข่ จ.สตูล,LOCATION
33,1893,ซุ้มรักนิรันดร,LOCATION
33,1942,เกาะไข่,LOCATION
33,1958,ซุ้มรักนิรันดร,LOCATION
33,1989,ซุ้มรักนิรันดร,LOCATION
33,2007,จ.สตูล,LOCATION
33,2092,ซุ้มรักนิรันดร,LOCATION
33,2133,ซุ้มรักนิรันดร,LOCATION
33,2160,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2173,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2186,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2199,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2214,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2227,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2240,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2257,เกาะไข่ จ.สตูล,LOCATION
33,2269,ซุ้มรักนิรันดร,LOCATION
33,2322,เกาะหลีเป๊ะ,LOCATION
33,2341,เกาะไข่,LOCATION
33,2365,เกาะไข่,LOCATION
33,2409,เกาะไข่,LOCATION
33,2663,เกาะหลีเป๊ะ,LOCATION
33,2719,ถนนคนเดิน,LOCATION
33,2744,ถนนคนเดิน,LOCATION
33,2902,ถนนคนเดิน,LOCATION
33,2915,ถนนคนเดิน,LOCATION
33,2977,ถนนคนเดิน,LOCATION
33,3041,เกาะหลีเป๊ะ,LOCATION
33,3136,เกาะหินงาม,LOCATION
33,3140,เกาะหินซ้อน,LOCATION
33,3144,เกาะอาดัง,LOCATION
33,3148,เกาะราวี,LOCATION
33,3163,เกาะหินซ้อน,LOCATION
33,3477,เกาะหินงาม,LOCATION
33,3503,เกาะอาดัง,LOCATION
33,3564,เกาะหินงาม อุทยานแห่งชาติตะรุเตา จ.สตูล,LOCATION
33,3576,เกาะหินงาม,LOCATION
33,3588,เกาะอาดัง,LOCATION
33,3592,ราวี,LOCATION
33,3773,เกาะหินงาม,LOCATION
33,3780,หมู่เกาะอาดัง,LOCATION
33,3784,ราวี,LOCATION
33,3813,เกาะหลีเป๊ะ,LOCATION
33,3828,เกาะหินงาม,LOCATION
33,3833,เกาะจาบัง,LOCATION
33,3855,เกาะหินงาม,LOCATION
33,3967,เกาะหินงาม,LOCATION
33,3982,หมู่เกาะอาดัง,LOCATION
33,3986,ราวี,LOCATION
33,3997,เกาะหินงาม,LOCATION
33,4006,เกาะหลีเป๊ะ,LOCATION
33,4012,เกาะหินงาม,LOCATION
33,4017,เกาะจาบัง,LOCATION
33,4307,เกาะหลีเป๊ะ,LOCATION
33,4335,กรุงเทพ,LOCATION
34,259,อิมแพคเมืองทองธานี จังหวัดนนทบุรี,LOCATION
34,311,สวนพฤกษศาสตร์สมเด็จพระนางเจ้าสิริกิตติ์ อ แม่ริม จ เชียงใหม่,LOCATION
34,363,โรงเรียนนายร้อย จปร.จ.นครนายก,LOCATION
34,370,สถานพักฟื้นและพักผ่อนที่สวนสนประดิพัทธ์ จ.ประจวบฯ,LOCATION
34,383,สถานพักฟื้นและพักผ่อนล้านนา จ.เชียงใหม่,LOCATION
34,393,มูลนิธิแม่ฟ้าหลวง ในพระบรมราชูปถัมภ์,LOCATION
34,401,บ้านสวนแผ่นดินแม่ สุพรรณ,LOCATION
34,409,กลุ่มท่องเที่ยวชุมชนตำบลบ้านแหลม,LOCATION
34,418,พิพิธภัณฑ์กองทัพอากาศ,LOCATION
34,430,องค์การพิพิธภัณฑ์วิทยาศาสตร์แห่งชาติ (อพวช),LOCATION
34,438,กิจการน้ำพุร้อนสันกำแพง,LOCATION
34,446,Museum Siam,LOCATION
34,451,โครงการฟาร์มทะเลตัวอย่างตามพระราชดำริ,LOCATION
34,459,องค์การสวนสัตว์,LOCATION
34,463,ไปรษณีย์ไทย,LOCATION
