Thread,Index,Word,Label
1,99,ทับสะแก จังหวัดประจวบคีรีขันธ์,LOCATION
1,129,ฟิวเจอร์พาร์ครังสิต,LOCATION
1,138,ชะอำ,LOCATION
1,142,อ่าวมะนาว,LOCATION
1,993,เมืองไทย,LOCATION
2,15,หมู่บ้านท่าระแนะ ตำบลหนองคันทรง อ.เมือง จ.ตราด,LOCATION
2,71,ตราด,LOCATION
2,123,ตราด,LOCATION
2,128,เกาะช้าง,LOCATION
2,156,เมืองตราด,LOCATION
2,207,เมืองตราด,LOCATION
2,267,หมู่บ้านท่าระแนะ,LOCATION
2,473,เมืองไทย,LOCATION
2,489,ตราด,LOCATION
2,574,ชุมชนบ้านท่าระแนะ,LOCATION
2,600,จังหวัดตราด,LOCATION
2,727,ลานตะบูน,LOCATION
2,755,ลานตะบูน,LOCATION
2,809,ลานตะบูน,LOCATION
2,938,บ้านท่าระแนะ,LOCATION
2,1365,ลานตะบูน,LOCATION
2,1503,เมืองตราด,LOCATION
2,1512,ตำบลท่าระแนะ,LOCATION
2,1713,ลานตะบูน,LOCATION
2,1717,บ้านท่าระแนะ,LOCATION
2,1816,ลานตะบูนนนนนน,LOCATION
2,1883,ลานตะบูน,LOCATION
2,1950,ลานตะบูน,LOCATION
2,1963,เมืองไทย,LOCATION
2,2060,ลานตะบูน,LOCATION
2,2154,ตราด,LOCATION
2,2219,จังหวัดตราด,LOCATION
2,2347,ตำบลหนองคันทรง,LOCATION
2,2510,วัดหนองคันทรง,LOCATION
2,2541,กรุงเทพ,LOCATION
2,2647,ตำบลหนองคันทรง,LOCATION
2,2794,เมืองตราด,LOCATION
2,3170,เมืองตราด,LOCATION
2,3222,เมืองตราด,LOCATION
2,3280,เมืองตราด,LOCATION
2,3303,ตราด,LOCATION
2,3313,เมืองตราด,LOCATION
2,3332,ชลบุรี,LOCATION
2,3334,ระยอง,LOCATION
2,3336,จันทบุรี,LOCATION
2,3346,เมืองตราด,LOCATION
2,3382,ตราด,LOCATION
2,3406,เมืองตราด,LOCATION
3,51,จังหวัดเชียงราย,LOCATION
3,97,เชียงราย,LOCATION
3,120,สนามบินสุวรรณภูมิ,LOCATION
3,124,สนามบินแม่ฟ้าหลวง เชียงราย,LOCATION
3,222,สนามบินแม่ฟ้าหลวง เชียงราย,LOCATION
3,347,เชียงราย,LOCATION
3,350,หอนาฬิกา,LOCATION
3,361,เชียงราย,LOCATION
3,785,สวนตุงและโคมนครเชียงราย เทศบาลนครเชียงราย,LOCATION
3,1069,อ.แม่ลาว,LOCATION
3,1602,วัดร่องเสือเต้น,LOCATION
3,1637,วัดร่องขุ่น,LOCATION
3,1753,วัดห้วยปลากั้ง,LOCATION
3,1761,วัดห้วยปลากั้ง,LOCATION
3,1770,สวัสดีเชียงราย Cat Cafe,LOCATION
3,2006,ดอยตุง,LOCATION
3,2016,วัดพระธาตุดอยตุง,LOCATION
3,2042,แม่สาย,LOCATION
3,2116,วัดพระธาตุดอยตุง,LOCATION
3,2167,หอนาฬิกา,LOCATION
3,2367,สนามบินเชียงใหม่,LOCATION
3,2450,กรุงเทพฯ,LOCATION
3,2505,สนามบินสุวรรณภูมิ,LOCATION
4,4,กระบี่,LOCATION
5,61,เมกาบางนา,LOCATION
11,208,กรุงเทพฯ,LOCATION
11,611,แม่กวางน้อย,LOCATION
11,960,ฟลามิงโก้,LOCATION
11,1081,พัทยา,LOCATION
11,1786,รัชดา,LOCATION
11,2138,อเมซอน,LOCATION
13,251,เมืองไทย,LOCATION
13,260,ไทย,LOCATION
13,268,ไทย,LOCATION
13,1369,เยอรมัน,LOCATION
13,1375,รัสเซีย,LOCATION
13,1379,เกาหลี,LOCATION
13,1381,ญี่ปุ่น,LOCATION
13,1953,ไทย,LOCATION
13,2054,ไทย,LOCATION
13,2181,เมืองไทย,LOCATION
13,2191,ลพบุรี,LOCATION
13,2193,อยุธยา,LOCATION
13,2195,สุโขทัย,LOCATION
13,2197,เชียงใหม่,LOCATION
13,2199,เชียงราย,LOCATION
14,11,บ้านรักไทย,LOCATION
14,58,แม่ฮ่องสอน,LOCATION
14,63,ปางอุ๋ง,LOCATION
14,65,บ้านรักไทย,LOCATION
14,72,ปาย,LOCATION
14,76,เชียงใหม่,LOCATION
14,80,เชียงดาว,LOCATION
14,84,แม่แตง,LOCATION
14,101,บ้านรักไทย,LOCATION
14,165,ประเทศพม่า,LOCATION
14,694,แม่ฮ่องสอน,LOCATION
14,718,ปางอุ๋ง,LOCATION
14,1078,หมู่บ้านรักไทย,LOCATION
14,1105,บ้านรักไทย,LOCATION
15,36,เมืองไทย,LOCATION
16,37,ไทย,LOCATION
16,57,อิมแพ็ค เมืองทองธานี (ฮอลล์ 3,LOCATION
17,22,เมลเบิร์น ออสเตรเลีย,LOCATION
17,31,ประเทศไทย,LOCATION
17,42,เชียงราย,LOCATION
17,55,กรุงเทพ,LOCATION
17,62,เชียงราย,LOCATION
17,91,ศูนย์การประชุมแห่งชาติสิริกิติ์,LOCATION
17,96,เชียงราย,LOCATION
17,109,เชียงราย,LOCATION
17,178,ออสเตรเลีย,LOCATION
17,234,สวนสัตว์เขาดิน,LOCATION
17,247,กรุงเทพ,LOCATION
17,294,เชียงราย,LOCATION
17,303,เชียงราย,LOCATION
17,343,อนุสาวรีย์พ่อขุนเม็งราย,LOCATION
17,348,เมืองเชียงราย,LOCATION
17,396,เชียงราย,LOCATION
17,425,วัดร่องขุ่น,LOCATION
17,430,วัดขาว,LOCATION
17,434,วัดร่อง,LOCATION
17,625,สิงห์ปาร์ค,LOCATION
17,652,สิงห์ปาร์ค,LOCATION
17,787,สิงค์ปาร์ค,LOCATION
17,987,เชียงราย,LOCATION
17,1000,ไร่ชาฉุยฟง,LOCATION
17,1023,ออสเตรเลีย,LOCATION
17,1075,เชียงราย,LOCATION
17,1079,สามเหลี่ยมทองคำ,LOCATION
17,1100,เชียงราย,LOCATION
17,1176,วัดพระแก้ว,LOCATION
17,1208,พม่า,LOCATION
17,1216,พม่า,LOCATION
17,1230,วัดห้วยปลากั้ง,LOCATION
17,1322,วัดห้วยปลากั้ง,LOCATION
17,1416,วัดร่องเสือเต้น,LOCATION
17,1585,เชียงราย,LOCATION
17,1639,เชียงราย,LOCATION
17,1644,พระตำหนักดอยตุง,LOCATION
17,1667,ดอยตุง,LOCATION
17,1689,พระตำหนักดอยตุง,LOCATION
17,1993,เชียงราย,LOCATION
17,2031,เชียงราย,LOCATION
18,7,ปางอุ๋ง,LOCATION
18,28,ปางอุ๋ง,LOCATION
18,53,ปางอุ๋ง,LOCATION
19,165,นาเฮียใช้ ต.บ้านโพธิ์ อ.เมือง จ.สุพรรณบุรี,LOCATION
20,0,จังหวัดพระนครศรีอยุธยา,LOCATION
20,28,อุทยานประวัติศาสตร์พระนครศรีอยุธยา,LOCATION
20,37,เกาะเมือง,LOCATION
20,46,สะพานปรีดี,LOCATION
20,50,ศาลากลางจังหวัดหลังเก่า,LOCATION
20,56,ศาลหลักเมือง,LOCATION
20,59,คุ้มขุนแผน,LOCATION
20,62,วิหารพระมงคลบพิตร,LOCATION
20,67,วัดพระศรีสรรเพ็ชญ์,LOCATION
20,78,วัดพระราม,LOCATION
20,115,ตลาดย้อนยุค,LOCATION
20,118,ถนนคนเดิน ถนนกินเส้น,LOCATION
21,51,ไทย,LOCATION
21,64,เกาหลี,LOCATION
21,72,อเมริกา,LOCATION
21,74,ญี่ปุ่น,LOCATION
21,131,เกาหลี,LOCATION
22,49,ไนท์ พระราม9,LOCATION
23,39,เกาะช้าง,LOCATION
24,52,วังน้ำเขียว,LOCATION
24,91,ม่อนแจ่ม,LOCATION
25,0,มหาสารคาม,LOCATION
25,47,ถนนสายมหาสารคาม,LOCATION
25,52,กันทรวิชัย,LOCATION
25,55,เชียงยืน,LOCATION
25,61,บ้านหนองซอน,LOCATION
25,164,ลาว,LOCATION
25,217,วัดป่าบ้านหนองซอน,LOCATION
25,247,ประเทศลาว,LOCATION
25,327,พิษณุโลก,LOCATION
25,404,จ.มหาสารคาม,LOCATION
25,446,มหาสารคาม,LOCATION
26,9,จังหวัดอุบลราชธานี,LOCATION
26,44,ประเทศไทย,LOCATION
26,187,Palio เขาใหญ่,LOCATION
27,6,พัทยา,LOCATION
27,12,เชียงคาน เวียงจันทร์,LOCATION
27,17,คำชะโนด,LOCATION
27,64,เชียงคาน,LOCATION
27,67,เชียงคาน,LOCATION
27,76,ริมโขง,LOCATION
27,80,วัดผาตากเสื้อ,LOCATION
27,86,หนองคาย,LOCATION
27,89,เวียงจันทร์,LOCATION
27,101,คำชะโนด,LOCATION
27,141,เชียงคาน,LOCATION
27,143,วัดผาตากเสื้อ,LOCATION
27,148,หนองคาย,LOCATION
27,151,เวียงจันทร์,LOCATION
28,22,กรุงเทพ,LOCATION
28,158,พระราม 9,LOCATION
28,184,เจริญกรุง,LOCATION
29,19,แพกาญ,LOCATION
29,38,เมืองกาญนะจ๊ะบุรี,LOCATION
29,728,ร้านดาดาโรตีโอ่ง,LOCATION
29,810,เมืองไทย,LOCATION
30,184,ไทย,LOCATION
30,200,ญี่ปุ่น,LOCATION
30,251,ญี่ปุ่น,LOCATION
30,264,ญี่ปุ่น,LOCATION
31,29,กรุงเทพ,LOCATION
31,34,จังหวัดอุบลราชธานี,LOCATION
31,51,ไทย,LOCATION
31,101,กทม.,LOCATION
31,226,กทม.,LOCATION
31,240,ร้าน Ribmann,LOCATION
31,285,Palio,LOCATION
31,313,Palio,LOCATION
31,563,พระราม 9,LOCATION
33,18,เกาะหลีเป๊ะ,LOCATION
33,160,หลีเป๊ะ,LOCATION
33,169,ไทย,LOCATION
33,175,ศูยน์ศิริกิตต์,LOCATION
33,515,ดอนเมือง,LOCATION
33,517,หาดใหญ่,LOCATION
33,552,สนามบินหาดใหญ่,LOCATION
33,571,ท่าเรือปากบารา จังหวัดสตูล,LOCATION
33,672,เกาะหลีเป๊ะ,LOCATION
33,706,อุทยานแห่งชาติตะรุเตา,LOCATION
33,718,ศาลเจ่าพ่อตะรุเตา,LOCATION
33,725,เกาะตะรุเตา จังหวัดสตูล,LOCATION
33,788,เกาะไข่,LOCATION
33,792,หาดหินบน,LOCATION
33,796,เกาะหินงาม,LOCATION
33,802,เกาะอาดัง,LOCATION
33,806,เกาะราวี,LOCATION
33,883,อุทยานแห่งชาติหมู่เกาะตะรุเตา,LOCATION
33,906,ประเทศไทย,LOCATION
33,958,เกาะตะรุเตา,LOCATION
33,995,เกาะตะรุเตา,LOCATION
33,1045,อ่าวตะโละวาว,LOCATION
33,1051,อ่าวตะโละอุดัง,LOCATION
33,1130,อ่าวตะโละอุดัง,LOCATION
33,1196,ช่องแคบมะละกา,LOCATION
33,1259,เกาะตะรุเตา,LOCATION
33,1277,อุทยานแห่งชาติตะรุเตา,LOCATION
33,1310,ศาลเจ่าพ่อตะรุเตา,LOCATION
33,1341,เกาะไข่ อ.เมือง จ.สตูล,LOCATION
33,1354,เกาะไข่,LOCATION
33,1378,จ.สตูล,LOCATION
33,1396,ซุ้มรักนิรันดร (Lovers Gate),LOCATION
33,1411,เกาะไข่,LOCATION
33,1443,จ.สตูล,LOCATION
33,1450,เกาะไข่ จ.สตูล,LOCATION
33,1464,เกาะตะรุเตา,LOCATION
33,1471,เกาะหลีเป๊ะ,LOCATION
33,1479,เกาะไข่ จ.สตูล,LOCATION
33,1494,หมู่เกาะไข่ จ.พังงา,LOCATION
33,1527,หมู่เกาะไข่ จ.พังงา,LOCATION
33,1546,เกาะไข่,LOCATION
33,1550,เกาะไข่นอก,LOCATION
33,1555,เกาะไข่นุ้ย,LOCATION
33,1561,เกาะไข่ จ.สตูล,LOCATION
33,1584,เกาะไข่,LOCATION
33,1634,เกาะไข่ จ.สตูล,LOCATION
33,1641,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,1654,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,1667,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,1680,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,1697,ซุ้มรักนิรันดร,LOCATION
33,1708,จ.สตูล,LOCATION
33,1718,เกาะไข่ จ.สตูล,LOCATION
33,1745,ซุ้มรักนิรันดร,LOCATION
33,1755,ซุ้มประตูแห่งคู่รัก,LOCATION
33,1774,เกาะไข่ จ.สตูล,LOCATION
33,1798,ซุ้มรักนิรันดร,LOCATION
33,1863,ซุ้มรักนิรันดร เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูลซุ้มรักนิรันดร เกาะไข่ จ.สตูล,LOCATION
33,1893,ซุ้มรักนิรันดร,LOCATION
33,1942,เกาะไข่,LOCATION
33,1958,ซุ้มรักนิรันดร,LOCATION
33,1989,ซุ้มรักนิรันดร,LOCATION
33,2007,จ.สตูล,LOCATION
33,2092,ซุ้มรักนิรันดร,LOCATION
33,2133,ซุ้มรักนิรันดร,LOCATION
33,2160,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2173,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2186,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2199,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2214,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2227,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2240,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2257,เกาะไข่ จ.สตูล,LOCATION
33,2269,ซุ้มรักนิรันดร,LOCATION
33,2322,เกาะหลีเป๊ะ,LOCATION
33,2341,เกาะไข่,LOCATION
33,2365,เกาะไข่,LOCATION
33,2409,เกาะไข่,LOCATION
33,2663,เกาะหลีเป๊ะ,LOCATION
33,2744,ถนนคนเดิน,LOCATION
33,2902,ถนนคนเดิน,LOCATION
33,2915,ถนนคนเดิน,LOCATION
33,3041,เกาะหลีเป๊ะ,LOCATION
33,3115,เมืองไทย,LOCATION
33,3136,เกาะหินงาม,LOCATION
33,3140,เกาะหินซ้อน,LOCATION
33,3144,เกาะอาดัง,LOCATION
33,3148,เกาะราวี,LOCATION
33,3163,เกาะหินซ้อนคะ,LOCATION
33,3477,เกาะหินงาม,LOCATION
33,3496,เกาะหินงาม,LOCATION
33,3503,เกาะอาดัง,LOCATION
33,3564,เกาะหินงาม,LOCATION
33,3568,อุทยานแห่งชาติตะรุเตา จ.สตูล,LOCATION
33,3576,เกาะหินงาม,LOCATION
33,3588,เกาะอาดัง,LOCATION
33,3592,ราวี,LOCATION
33,3594,อุทยานแห่งชาติแห่งชาติตะรุเตา,LOCATION
33,3773,เกาะหินงาม,LOCATION
33,3780,หมู่เกาะอาดัง,LOCATION
33,3784,ราวี,LOCATION
33,3813,เกาะหลีเป๊ะ,LOCATION
33,3828,เกาะหินงาม,LOCATION
33,3833,เกาะจาบัง,LOCATION
33,3855,เกาะหินงาม,LOCATION
33,3967,เกาะหินงาม,LOCATION
33,3982,หมู่เกาะอาดัง,LOCATION
33,3986,ราวี,LOCATION
33,3997,เกาะหินงาม,LOCATION
33,4006,เกาะหลีเป๊ะ,LOCATION
33,4012,เกาะหินงาม,LOCATION
33,4017,เกาะจาบัง,LOCATION
33,4039,เกาะหิน,LOCATION
33,4307,เกาะหลีเป๊ะ,LOCATION
33,4335,กรุงเทพ,LOCATION
34,259,อิมแพคเมืองทองธานี จังหวัดนนทบุรี,LOCATION
34,311,สวนพฤกษศาสตร์สมเด็จพระนางเจ้าสิริกิตติ์ อ แม่ริม จ เชียงใหม่,LOCATION
34,363,โรงเรียนนายร้อย จปร.จ.นครนายก,LOCATION
34,370,สถานพักฟื้นและพักผ่อนที่สวนสนประดิพัทธ์ จ.ประจวบฯ,LOCATION
34,383,สถานพักฟื้นและพักผ่อนล้านนา จ.เชียงใหม่,LOCATION
34,393,มูลนิธิแม่ฟ้าหลวง ในพระบรมราชูปถัมภ์,LOCATION
34,401,บ้านสวนแผ่นดินแม่ สุพรรณ,LOCATION
34,409,กลุ่มท่องเที่ยวชุมชนตำบลบ้านแหลม,LOCATION
