Thread,Index,Word,Label
1,48,เชียงใหม่,LOCATION
1,281,ดอยอินทนนท์,LOCATION
1,331,เชียงใหม่,LOCATION
1,396,ถ.ห้วยแก้ว,LOCATION
1,401,กาดสวนแก้ว,LOCATION
1,406,ดอยอินทนนท์,LOCATION
1,528,ซอยนิมมาน 17,LOCATION
1,554,ซอยนิมมาน 17,LOCATION
1,615,อ.จอมทอง,LOCATION
1,641,อ.จอมทอง,LOCATION
1,683,ดอยอินทนนท์,LOCATION
1,848,บ้านปกเปียง,LOCATION
1,886,บ้านปกเปียง,LOCATION
1,1174,น้ำตกวชิรธาน,LOCATION
1,1185,เมืองเชียงใหม่,LOCATION
1,1189,สันป่าตอง,LOCATION
1,1310,เมืองเชียงใหม่,LOCATION
2,2,ดอยแม่สลอง,LOCATION
2,28,ดอยอ่างขาง,LOCATION
2,35,อำเภอแม่อาย,LOCATION
2,39,อำเภอวชิรปราการ,LOCATION
2,42,อำเภอฝาง,LOCATION
2,46,จังหวัดเชียงใหม่,LOCATION
2,95,สวนส้มธนาธร,LOCATION
2,158,ดอยอ่างขาง,LOCATION
2,295,ดอยอ่างขาง,LOCATION
2,361,จุดชมวิวขอบด้ง ดอยอ่างขาง,LOCATION
2,403,ภูชี้ฟ้า,LOCATION
2,487,จุดชมวิวชายแดนไทย - พม่า,LOCATION
2,496,บ้านนอแล,LOCATION
2,536,หมู่บ้านนอแล,LOCATION
2,567,บ้านนอแล,LOCATION
2,654,บ้านขอบด้ง,LOCATION
2,664,บ้านนอแล,LOCATION
2,672,บ้านนอแล,LOCATION
2,678,บ้านขอบด้ง,LOCATION
2,757,โรงเรียนบ้านขอบด้ง บ้านขอบด้ง,LOCATION
2,849,บ้านขอบด้ง,LOCATION
2,921,บ้านขอบด้ง,LOCATION
2,928,สถานีเกษตรหลวงอ่างขาง,LOCATION
2,1031,สวน 80 พรรษา,LOCATION
2,1085,อ่างขาง,LOCATION
2,1146,อำเภอฝาง,LOCATION
2,1152,บ่อน้ำพุร้อนฝาง,LOCATION
2,1179,ภูชี้ฟ้า,LOCATION
2,1192,ดอยผาตั้ง,LOCATION
2,1206,สามเหลี่ยมทองคำ,LOCATION
2,1211,แม่สาย,LOCATION
2,1224,ดอยตุง,LOCATION
2,1229,ดอยแม่สลอง,LOCATION
2,1247,ดอยอ่างขาง,LOCATION
2,1250,อำเภอฝาง,LOCATION
2,1257,อำเภอฝาง,LOCATION
2,1335,เชียงใหม่,LOCATION
2,1337,พระธาตุดอยสุเทพ,LOCATION
2,1348,เมืองเชียงใหม่,LOCATION
2,1351,สนามบินนานาชาติเชียงใหม่,LOCATION
2,1365,อำเภอสันป่าตอง,LOCATION
2,1373,ดอยอินทนนท์,LOCATION
2,1382,ดอยอินทนนท์,LOCATION
2,1385,ดอยอินทนนท์,LOCATION
3,19,สถานีพระนครศรีอยุธยา,LOCATION
3,145,ตลาดเจ้าพรหม,LOCATION
3,320,อยุธยา,LOCATION
3,345,วงเวียนเจดีย์,LOCATION
3,439,อยุธยา,LOCATION
3,447,วัดใหญ่ชัยมงคล,LOCATION
3,454,วัดป่าแก้ว,LOCATION
3,458,วัดเจ้าพระยาไท,LOCATION
3,467,แม่น้ำป่าสัก,LOCATION
3,516,วัดใหญ่ชัยมงคล,LOCATION
3,553,ตำบลหนองสาหร่าย เมืองสุพรรณบุรี,LOCATION
3,577,พระเจดีย์ชัยมงคล,LOCATION
3,586,จังหวัดพระนครศรีอยุธยา,LOCATION
4,0,ก ร ะ บี่,LOCATION
4,112,อ่าวนาง,LOCATION
4,116,ท่าเรืออ่าวน้ำเมา,LOCATION
4,129,ไร่เลย์,LOCATION
4,167,เกาะปอดะ,LOCATION
4,172,ทะเลแหวก,LOCATION
4,178,ทะเลแหวก,LOCATION
4,208,ทะเลแหวก,LOCATION
4,213,เกาะไก่,LOCATION
4,224,ทะเลแหวก,LOCATION
4,265,เกาะปอดะ,LOCATION
4,318,ปอดะ,LOCATION
4,382,เกาะปอดะ,LOCATION
4,755,กระบี่,LOCATION
5,27,ปราณบุรี,LOCATION
5,139,ภูทับเบิก,LOCATION
5,183,ปราณบุรี,LOCATION
5,254,ภูทับเบิก,LOCATION
5,636,ปราณบุรี,LOCATION
5,662,ปราณบุรี,LOCATION
5,777,ปราณบุรี,LOCATION
5,792,แม่น้ำปราณ,LOCATION
5,1016,ปราณบุรี,LOCATION
5,1031,วัดคลองโคน,LOCATION
5,1357,ปราณบุรี,LOCATION
6,23,สังขละบุรี,LOCATION
6,51,สังขละบุรี,LOCATION
6,116,สังขละบุรี,LOCATION
6,124,สังขละบุรี,LOCATION
6,132,สังขละบุรี,LOCATION
6,164,สะพานมอญ,LOCATION
6,175,ประเทศไทย,LOCATION
6,190,สังขละ,LOCATION
6,201,วัดใต้น้ำ,LOCATION
6,205,สังขละบุรี,LOCATION
6,265,อ.สังขละบุรี,LOCATION
6,284,สังขละบุรี,LOCATION
6,291,สังขละบุรี,LOCATION
6,372,สะพานมอญ,LOCATION
6,376,เจดีย์พุทธคยา,LOCATION
6,398,ถนนคนเดิน,LOCATION
6,472,ถนนคนเดิน,LOCATION
6,480,ถนนคนเดิน,LOCATION
6,523,วัดใต้น้ำ,LOCATION
6,546,สังขละ,LOCATION
6,555,สังขละบุรี,LOCATION
6,567,สะพานมอญ,LOCATION
6,584,สะพานมาอญ,LOCATION
6,636,วัดใต้น้ำ,LOCATION
6,710,ไทย,LOCATION
6,726,วัดจมน้ำ,LOCATION
6,756,เจดีย์3องค์,LOCATION
6,768,เจดีย์3องค์,LOCATION
6,774,สังขละ,LOCATION
6,790,พม่า,LOCATION
6,817,สังขละ,LOCATION
6,986,สะพานมอญ,LOCATION
6,1043,วัดวังก์วิเวการาม,LOCATION
6,1051,เจดีย์พุทธคยา,LOCATION
6,1058,สังขละบุรี,LOCATION
6,1104,สังขละบุรี,LOCATION
6,1138,สังขละบุรี,LOCATION
7,105,สนามบินกรุงเทพ,LOCATION
7,108,หาดใหญ่,LOCATION
7,125,สนามบินหาดใหญ่,LOCATION
7,141,ท่าเรือปากบารา,LOCATION
7,405,ถนนคนเดิน,LOCATION
7,643,เกาะหินขาว,LOCATION
7,729,เกาะอาดัง,LOCATION
7,847,หลีเป๊ะ,LOCATION
7,854,กทม.,LOCATION
8,12,หัวหิน,LOCATION
8,54,กรุงเทพ,LOCATION
8,62,หัวหิน,LOCATION
8,131,ญี่ปุ่น,LOCATION
9,52,ภูเก็ต,LOCATION
9,244,ไทย,LOCATION
9,280,เกาะไม้ท่อน,LOCATION
9,304,เกาะรอก,LOCATION
9,311,เกาะรอก,LOCATION
9,327,เกาะรอก,LOCATION
9,366,ดอนเมือง,LOCATION
9,368,ภูเก็ต,LOCATION
9,430,สนามบินภูเก็ต,LOCATION
9,655,หาดป่าตอง,LOCATION
9,859,หาดป่าตอง,LOCATION
9,890,เมืองภูเก็ต,LOCATION
9,898,ภูเก็ต,LOCATION
9,957,หาดป่าตอง,LOCATION
9,989,หาดกะรน,LOCATION
9,1011,ภูเก็ต,LOCATION
9,1029,แหลมพรหมเทพ,LOCATION
9,1051,แหลมพรหมเทพ,LOCATION
9,1084,หอประภาคาร แหลมพรหมเทพ,LOCATION
9,1110,ภูเก็ต,LOCATION
9,1149,วงเวียนนาฬิกา,LOCATION
