Thread,Index,Word,Label
1,99,ทับสะแก จังหวัดประจวบคีรีขันธ์,LOCATION
1,138,ชะอำ,LOCATION
1,142,อ่าวมะนาว,LOCATION
2,15,หมู่บ้านท่าระแนะ ตำบลหนองคันทรง อ.เมือง จ.ตราด,LOCATION
2,128,เกาะช้าง,LOCATION
2,267,หมู่บ้านท่าระแนะ,LOCATION
2,574,ชุมชนบ้านท่าระแนะ,LOCATION
2,727,ลานตะบูน,LOCATION
2,755,ลานตะบูน,LOCATION
2,809,ลานตะบูน,LOCATION
2,938,บ้านท่าระแนะ,LOCATION
2,1294,ท่าระแนะ,LOCATION
2,1365,ลานตะบูน,LOCATION
2,1512,ตำบลท่าระแนะ,LOCATION
2,1713,ลานตะบูน,LOCATION
2,1717,บ้านท่าระแนะ,LOCATION
2,1816,ลานตะบูนนนนนน,LOCATION
2,1883,ลานตะบูน,LOCATION
2,1950,ลานตะบูน,LOCATION
2,2060,ลานตะบูน,LOCATION
2,2219,จังหวัดตราด,LOCATION
2,2223,ท่าระแนะ,LOCATION
2,2347,ตำบลหนองคันทรง,LOCATION
2,2510,วัดหนองคันทรง,LOCATION
2,2647,ตำบลหนองคันทรง,LOCATION
3,51,จังหวัดเชียงราย,LOCATION
3,124,สนามบินแม่ฟ้าหลวง เชียงราย,LOCATION
3,785,สวนตุง,LOCATION
3,788,โคมนครเชียงราย เทศบาลนครเชียงราย,LOCATION
3,1069,อ.แม่ลาว,LOCATION
3,1602,วัดร่องเสือเต้น,LOCATION
3,1637,วัดร่องขุ่น,LOCATION
3,1753,วัดห้วยปลากั้ง,LOCATION
3,1761,วัดห้วยปลากั้ง,LOCATION
3,1770,สวัสดีเชียงราย Cat Cafe,LOCATION
3,2006,ดอยตุง,LOCATION
3,2016,วัดพระธาตุดอยตุง,LOCATION
3,2042,แม่สาย,LOCATION
3,2116,วัดพระธาตุดอยตุง,LOCATION
11,35,Safari World,LOCATION
11,149,Safari World,LOCATION
11,184,Safari World,LOCATION
11,192,99 99 ถนนปัญญาอินทรา แขวงคลองสามวา เขตสามวานอก,LOCATION
11,222,Safari World,LOCATION
11,1434,จุตจักร,LOCATION
11,1590,Safari World,LOCATION
11,1859,Safari World,LOCATION
11,2212,Safari World,LOCATION
11,2251,Safari World,LOCATION
14,84,แม่แตง,LOCATION
17,425,วัดร่องขุ่น,LOCATION
17,430,วัดขาว,LOCATION
17,625,สิงห์ปาร์ค,LOCATION
17,787,สิงค์ปาร์ค,LOCATION
17,1000,ไร่ชาฉุยฟง,LOCATION
17,1079,สามเหลี่ยมทองคำ,LOCATION
17,1176,วัดพระแก้ว,LOCATION
17,1230,วัดห้วยปลากั้ง,LOCATION
17,1322,วัดห้วยปลากั้ง,LOCATION
17,1416,วัดร่องเสือเต้น,LOCATION
17,1644,พระตำหนักดอยตุง,LOCATION
17,1667,ดอยตุง,LOCATION
17,1689,พระตำหนักดอยตุง,LOCATION
18,31,ศูนย์ศิลปาชีพแม่ฮองสอน,LOCATION
19,165,นาเฮียใช้ ต.บ้านโพธิ์ อ.เมือง จ.สุพรรณบุรี,LOCATION
20,46,สะพานปรีดี,LOCATION
20,50,ศาลากลางจังหวัดหลังเก่า,LOCATION
20,59,คุ้มขุนแผน,LOCATION
20,62,วิหารพระมงคลบพิตร,LOCATION
20,67,วัดพระศรีสรรเพ็ชญ์,LOCATION
20,78,วัดพระราม,LOCATION
22,48,เดอะไนท์ พระราม9,LOCATION
23,39,เกาะช้าง,LOCATION
24,91,ม่อนแจ่ม,LOCATION
25,52,กันทรวิชัย,LOCATION
25,55,เชียงยืน,LOCATION
25,217,วัดป่าบ้านหนองซอน,LOCATION
27,17,คำชะโนด,LOCATION
27,80,วัดผาตากเสื้อ,LOCATION
27,143,วัดผาตากเสื้อ,LOCATION
28,184,เจริญกรุง,LOCATION
29,19,แพกาญ,LOCATION
29,38,เมืองกาญนะจ๊ะบุรี,LOCATION
29,728,ร้านดาดาโรตีโอ่ง,LOCATION
31,34,จังหวัดอุบลราชธานี,LOCATION
31,563,พระราม 9,LOCATION
33,18,เกาะหลีเป๊ะ,LOCATION
33,160,หลีเป๊ะ,LOCATION
33,571,ท่าเรือปากบารา จังหวัดสตูล,LOCATION
33,672,เกาะหลีเป๊ะ,LOCATION
33,725,เกาะตะรุเตา จังหวัดสตูล,LOCATION
33,788,เกาะไข่,LOCATION
33,792,หาดหิน,LOCATION
33,796,เกาะหินงาม,LOCATION
33,802,เกาะอาดัง,LOCATION
33,806,เกาะราวี,LOCATION
33,995,เกาะตะรุเตา,LOCATION
33,1341,เกาะไข่ อ.เมือง จ.สตูล,LOCATION
33,1354,เกาะไข่,LOCATION
33,1411,เกาะไข่,LOCATION
33,1450,เกาะไข่ จ.สตูล,LOCATION
33,1464,เกาะตะรุเตา,LOCATION
33,1471,เกาะหลีเป๊ะ,LOCATION
33,1479,เกาะไข่ จ.สตูล,LOCATION
33,1494,หมู่เกาะไข่ จ.พังงา,LOCATION
33,1527,หมู่เกาะไข่ จ.พังงา,LOCATION
33,1546,เกาะไข่,LOCATION
33,1550,เกาะไข่นอก,LOCATION
33,1555,เกาะไข่นุ้ย,LOCATION
33,1561,เกาะไข่ จ.สตูล,LOCATION
33,1584,เกาะไข่,LOCATION
33,1634,เกาะไข่ จ.สตูล,LOCATION
33,1641,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,1654,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,1667,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,1680,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,1705,การท่องเที่ยวทะเล จ.สตูล,LOCATION
33,1718,เกาะไข่ จ.สตูล,LOCATION
33,1774,เกาะไข่ จ.สตูล,LOCATION
33,1867,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูลซุ้มรักนิรันดร,LOCATION
33,1883,เกาะไข่ จ.สตูล,LOCATION
33,2160,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2173,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2186,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2199,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2214,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2227,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2240,เกาะไข่ ต.เกาะสาหร่าย อ.เมือง จ.สตูล,LOCATION
33,2257,เกาะไข่ จ.สตูล,LOCATION
33,2322,เกาะหลีเป๊ะ,LOCATION
33,2341,เกาะไข่,LOCATION
33,2365,เกาะไข่,LOCATION
33,2409,เกาะไข่,LOCATION
33,2663,เกาะหลีเป๊ะ,LOCATION
33,3041,เกาะหลีเป๊ะ,LOCATION
33,3136,เกาะหินงาม,LOCATION
33,3140,เกาะหินซ้อน,LOCATION
33,3144,เกาะอาดัง,LOCATION
33,3148,เกาะราวี,LOCATION
33,3154,เกาะกัปตันเรือ,LOCATION
33,3163,เกาะหินซ้อนคะ,LOCATION
33,3477,เกาะหินงาม,LOCATION
33,3496,เกาะหินงามเกาะขนาดเล็ก,LOCATION
33,3503,เกาะอาดัง,LOCATION
33,3564,เกาะหินงาม อุทยานแห่งชาติตะรุเตา จ.สตูล,LOCATION
33,3576,เกาะหินงาม,LOCATION
33,3588,เกาะอาดัง,LOCATION
33,3773,เกาะหินงาม,LOCATION
33,3780,หมู่เกาะอาดัง,LOCATION
33,3789,เกาะอาดัง,LOCATION
33,3813,เกาะหลีเป๊ะ,LOCATION
33,3828,เกาะหินงาม,LOCATION
33,3833,เกาะจาบัง,LOCATION
33,3855,เกาะหินงาม,LOCATION
33,3967,เกาะหินงาม,LOCATION
33,3982,หมู่เกาะอาดัง,LOCATION
33,3997,เกาะหินงาม,LOCATION
33,4006,เกาะหลีเป๊ะ,LOCATION
33,4012,เกาะหินงาม,LOCATION
33,4039,เกาะหิน,LOCATION
33,4307,เกาะหลีเป๊ะ,LOCATION
34,264,จังหวัดนนทบุรี,LOCATION
34,363,โรงเรียนนายร้อย จปร.จ.นครนายก สถานพักฟื้นและพักผ่อนที่สวนสนประดิพัทธ์ จ.ประจวบฯ,LOCATION
34,401,บ้านสวนแผ่นดินแม่ สุพรรณ,LOCATION
34,430,องค์การพิพิธภัณฑ์วิทยาศาสตร์แห่งชาติ (อพวช),LOCATION
34,446,Museum Siam,LOCATION
34,451,โครงการฟาร์มทะเลตัวอย่างตามพระราชดำริ,LOCATION
39,249,กลับไนท์บาซ่า,LOCATION
39,409,สวนสัตว์กลางคืน ไนท์ซาฟารี,LOCATION
39,569,ไนท์บาซ่า,LOCATION
39,742,ดอยสุเทพ,LOCATION
39,1069,ดอยสุเทพ,LOCATION
39,1079,ภูพิงค์,LOCATION
39,1127,ดอยสุเทพ,LOCATION
39,1178,ดอยสุเทพ,LOCATION
39,1573,ตลาดไนท์บาซ่า,LOCATION
39,1631,ดอยอิ,LOCATION
39,2087,เมืองไปไนท์ซาฟารี,LOCATION
39,2095,เมืองขึ้นดอยลงดอย 2,LOCATION
42,75,หมู่บ้านมังกรสวรรค์,LOCATION
42,88,หมู่บ้านมังกรสวรรค์,LOCATION
42,112,หมู่บ้านมังกรสวรรค์,LOCATION
42,193,หมู่บ้านมังกรสวรรค์,LOCATION
42,344,หมู่บ้านมังกรสวรรค์,LOCATION
42,378,วัดพระศรีรัตนมหาธาตุ,LOCATION
42,412,พระศรีรัตนมหาธาตุ,LOCATION
42,419,คุ้มขุนแผน,LOCATION
42,427,คุ้มขุนแผน,LOCATION
42,460,แม่น้ำท่าจีน,LOCATION
42,573,เมืองสุพรรณ,LOCATION
42,635,ป่าเลไลย์,LOCATION
42,718,ศูนย์ราชการ,LOCATION
42,782,อ.ศรีประจัน,LOCATION
42,789,หมู่บ้านควาย,LOCATION
42,832,ตลาดร้อยปีสามชุก,LOCATION
46,13,อำเภอแม่สอด จ.ตาก,LOCATION
46,30,แม่สอด,LOCATION
46,79,แม่สอด,LOCATION
46,86,แม่สอด,LOCATION
46,258,สนามบินแม่สอด,LOCATION
46,860,สนามบินแม่สอด,LOCATION
46,1024,แม่สอด,LOCATION
46,1628,อ.แม่สอด จ.ตาก,LOCATION
46,1660,แม่สอด,LOCATION
46,1682,แม่สอด,LOCATION
46,2168,สนามบินแม่สอด,LOCATION
46,2282,ธาราสปา แม่สอด,LOCATION
46,2346,แม่สอด,LOCATION
47,82,หัวหิน จังหวัดประจวบฯ,LOCATION
47,132,ศูนย์สิริกิตย์,LOCATION
47,332,สนามบินสุราษฏ์ธานี,LOCATION
47,644,กาญฯ,LOCATION
47,752,เขาสามเกลอ,LOCATION
47,1802,สะพานแขวนเขารูปหัวใจ,LOCATION
47,1807,สันเขื่อนรัชชประภา,LOCATION
47,1821,สะพานแขวนเขารูปหัวใจ,LOCATION
49,34,บ้านช้างทูน,LOCATION
49,156,จังหวัดตราด,LOCATION
49,225,วัดหนองบอน,LOCATION
49,229,อ.บ่อไร่,LOCATION
49,446,อ.บ่อไร่,LOCATION
49,693,ชุมชนบ้านช้างทูน,LOCATION
49,700,นิเวศพิพิธภัณฑ์บ้านช้างทูน,LOCATION
