provinceId,provinceTh,provinceEn,provinceDescTh,LAT,LON,photoRef
1,กรุงเทพมหานคร,Krung Thep Maha Nakhon,กรุงเทพฯ ดุจเทพสร้าง เมืองศูนย์กลางการปกครอง วัด วัง งามเรืองรอง เมืองหลวงของประเทศไทย,13.7563309,100.5017651,ATtYBwJz7PW102JcOJtPvOn_pAOHJsgbR1om5c-VK6TZwTtS2HreDtMI9cACXsiX3_j87otRvYNDFQEjEnf1FfEgUWBaGdD5-5YQA2yuCWx-I6ucp-peXx-aDww653PpwhefkvzPzlDjM2aoowgBkXjMyaZ08ExhpiYyEmc60_YDCyHlq8c1
2,กระบี่,Krabi,ถิ่นหอยเก่า เขาตระหง่าน ธารสวย รวยเกาะ เพาะปลูกปาล์ม งามหาดทราย ใต้ทะเลสวยสด มรกตอันดามัน,8.0862997,98.9062835,ATtYBwLb6XVPGrHZj8oiY7_A9fiNQ7DijM14_IgWTGHj65bFVL5RO0VOcCBQZVNLUK3utKySD0XAHWSkn0Rp9jOI3VpiSdMXYUex2LTObXlvu25eyumxHwxSLqjKgu9AA1cIV4RTRRSvgSJHVFfrV7FSUUEgi6EX9UT80FCxW8x3yr869xkj
3,กาญจนบุรี,Kanchanaburi,แคว้นโบราณ ด่านเจดีย์ มณีเมืองกาญจน์ สะพานข้ามแม่น้ำแคว แหล่งแร่ น้ำตก,14.0227797,99.5328115,ATtYBwJx9r_Kdfi4hBBlOAIWiaewNACuMIJ3-aAwomK9do-7ApMl3VDmiSNaIbENagb16Y5O7TN2OkNJpam7m1rFkdnVtFVeprAbmxG_WVrsaGn0wJenNl3_me7Y4yGSEKTdkAm1KGrFMuv2b1auF-Oze63cTNODOgj93BQbYkgWiV9556DL
4,กาฬสินธุ์,Kalasin,เมืองฟ้าแดดสงยาง โปงลางเลิศล้ำ วัฒนธรรมผู้ไทย ผ้าไหมแพรวา ผาเสวยภูพาน มหาธารลำปาว ไดโนเสาร์สัตว์โลกล้านปี,16.431407800000002,103.5058755,ATtYBwJAtk79tqfn1P3EOv_o5hdw2t6mF73nM0ZsZCyDnrkh6vejCVXxKZJEDb0u9HHa59dz47FbCRwBP8By-nieWj5b5FFcY_xHCo9D7C68jqWL7LUvTLx6ukRd_bRSNQxOZMvADrykwOSfIqvoGiwKMvJbDVSjoY7w412tEe52lLDixY0I
5,กำแพงเพชร,Kamphaeng Phet,กรุพระเครื่อง เมืองคนแกร่ง ศิลาแลงใหญ่ กล้วยไข่หวาน น้ำมันลานกระบือ เลื่องลือมรดกโลก,16.4827798,99.52266180000001,ATtYBwKDtpS1UeTmauxTX9Zv-Q6djztNLb0NqG26jdzp1XiEnOX0RO5BCsnZh5tlHBNxvduiKkOclJsZLCm38nkRj0w2Yi22QkSxEATQW7ucPudoxmPLogIUNr8431pUMLEmCJd9hYm1LldOwlnIPcoAMpobWp7UngFJRkfiqcGv0P2-zvUY
6,ขอนแก่น,Khon Kaen,พระธาตุขามแก่น เสียงแคนดอกคูน ศูนย์รวมผ้าไหม ร่วมใจผูกเสี่ยว เที่ยวขอนแก่นนครใหญ่ ไดโนเสาร์สิรินธรเน่ สุดเท่เหรียญทองแรกมวยโอลิมปิก,16.4419355,102.8359921,ATtYBwJzuriLw1-R2ltEN5LzjYsBCw05uNoyJrsDIYyZZNg388vixncqjk2uh2V65DAvjJUWCYUbzqS904FRzpZF7MQtxyiq0QsNYQ9KU1L_UpdeXRN6usUy3iiKp6FuCeGhGkP_pu3eUGmCRDfLJ4TZWCsLM9Lnz-oOSghjdyecDS3ddrTr
7,จันทบุรี,Chanthaburi,น้ำตกลือเลื่อง เมืองผลไม้ พริกไทยพันธุ์ดี อัญมณีมากเหลือ เสื่อจันทบูร สมบูรณ์ธรรมชาติ สมเด็จพระเจ้าตากสินมหาราช รวมญาติกู้ชาติที่จันทบุรี ,12.61134,102.10385459999999,ATtYBwJR1gR89HmnJEXrEAip9VtlR7fD3GwpxQ_L47BH11PnvPAmHiXnIa29sHdF66Hdd65OnqtiMc7mCSZz5YyhGTj8psYCvYFOZoa7aIPTFka9TI_s0Phr0l8sbNEX9TIQLZpeQv4pec4lZr4NY01g81L3HsK2f3bxZp_ghXKM-wG3_PDO
8,ฉะเชิงเทรา,Chachoengsao,แม่น้ำบางปะกงแหล่งชีวิต พระศักดิ์สิทธิ์หลวงพ่อโสธร พระยาศรีสุนทรปราชญ์ภาษาไทย อ่างฤาไนป่าสมบูรณ์,13.690419400000001,101.07795959999999,ATtYBwLb9Zi-yuNoVPfRSbO4BSJ0HJXZebw8jwnbGKBBOfMgil5ofm7MkvlsnI-El_SZdCS9jt21XMyzdzI7SAiVC3Ruarsr8UfqHnyVW1kh1kWRsfn1vxSJs0McXFvHI6FhoCpeL12bwNbbRHC0j3u6WUyRpnSOQX_1afNXBHY8z0ICf7L_
9,ชลบุรี,Chon Buri,ทะเลงาม ข้าวหลามอร่อย อ้อยหวาน จักสานดี ประเพณีวิ่งควาย,13.361143099999998,100.9846717,ATtYBwIF0WrqbWSEMsEUEsrV3ycwzbkhS_N-AwZ6LuKNsj3TAOSkYf5qIves8rdMt0LG49p0wZKJ5L7ACOP3eNJhWW69Lj9jeNRL_ARuUYfqk8nB4O4KF_lXTO4Hlrr_9L03nBcpfxL4HQSrJt3mwc7NovT611is6CwrkDDOZZjgIUNvdZUA
10,ชัยนาท,Chai Nat,หลวงปู่ศุขลือชา เขื่อนเจ้าพระยาลือชื่อ นามระบือสวนนก ส้มโอดกขาวแตงกวา,15.1851971,100.125125,ATtYBwJUYmEUZva-11Jqq4ju14q0FG5w2yb9IPM3GDbZAqTc4fLRFtX5CpGFGtYDhhasTSwk2fsJ0zJoWqNcaiyRA-rTqB44lEWmEInaWoVqDPZobzqJwwsVKif9XS5jwpy0QCwXJlKK6NtndmI87DN4A0jBuif64Nk34tfC5m-RjmSiArh6
